sq,batch,sk,kv_bytes,compact_physical_span,baseline_ms,schedule_only_ms,compact_ms,compact_vs_baseline,schedule_vs_baseline,compact_vs_schedule
4,8,932032,8589606912,8589606912,15.44484806060791,14.666608095169067,15.353640079498291,1.005940479302456,1.0530620277291776,0.9552528272922968
4,16,512,9437184,9437184,0.026496000587940216,0.02675200067460537,0.027295999228954315,0.9706917253952184,0.9904306190113039,0.9800703923756015
4,16,1024,18874368,18874368,0.03993599861860275,0.040463998913764954,0.04198399931192398,0.9512194948817186,0.9869513565308399,0.9637957216303753
4,16,2048,37748736,37748736,0.06750399991869926,0.06816799752414227,0.07135999947786331,0.9459641313427949,0.9902593940036475,0.9552690305902926
4,16,4096,75497472,75497472,0.12812800705432892,0.1279520019888878,0.13327999413013458,0.9613446330829272,1.001375555385655,0.9600240668074719
4,16,8192,150994944,150994944,0.2550880014896393,0.25489600002765656,0.26417599618434906,0.9655987113667666,1.0007532541191777,0.9648719176203402
4,16,16384,301989888,301989888,0.5380159914493561,0.5130879878997803,0.5335040092468262,1.008457260159862,1.0485842665146254,0.9617322063317421
4,16,32768,603979776,603979776,1.0793599486351013,1.0181120038032532,1.059552013874054,1.0186946317893573,1.06015835645101,0.9608891215077935
4,16,65536,1207959552,1207959552,2.16376793384552,2.0338399410247803,2.1155359745025635,1.0227989312988628,1.0638830963046548,0.9613828200217712
4,16,131072,2415919104,2415919104,4.324264049530029,4.0558881759643555,4.21235203742981,1.0265675829336676,1.0661694459813018,0.962855938897044
4,16,262144,4831838208,4831838208,8.704751968383789,8.091511964797974,8.405279636383057,1.0356290742195462,1.0757880611502162,0.9626701686132
4,16,524288,9663676416,9663676416,17.370448112487793,16.19918441772461,16.79213571548462,1.0344394785036124,1.0723038681800316,0.9646887502693758
4,16,932032,17179213824,17179213824,30.931943893432617,28.786744117736816,29.832168102264404,1.0368654328910387,1.0745204031036648,0.9649564865368188
4,32,512,18874368,18874368,0.04737599939107895,0.047968000173568726,0.0490880012512207,0.9651238221866045,0.9876584226912178,0.9771838117441353
4,32,1024,37748736,37748736,0.07430399954319,0.07499199733138084,0.07791999727487564,0.9535934566459286,0.9908257172408589,0.9624229973575873
4,32,2048,75497472,75497472,0.1340159997344017,0.13396800309419632,0.1395680010318756,0.9602200987588416,1.0003582694307358,0.9598762044574937
4,32,4096,150994944,150994944,0.2619200050830841,0.2603999972343445,0.27083198726177216,0.9670940561017477,1.005837203782194,0.961481691535407
4,32,8192,301989888,301989888,0.5133599936962128,0.513839989900589,0.5348320007324219,0.9598528004928568,0.9990658644445539,0.9607502714813521
4,32,16384,603979776,603979776,1.0248639583587646,1.0196320414543152,1.0620959997177124,0.9649447494681804,1.0051311813396793,0.9600187193298125
4,32,32768,1207959552,1207959552,2.0479040145874023,2.0352319478988647,2.116047978401184,0.967796588494525,1.0062263501227071,0.9618080349182908
4,32,65536,2415919104,2415919104,4.0796799659729,4.0641279220581055,4.217967987060547,0.9672145399130879,1.0038266620079517,0.9635274460417015
4,32,131072,4831838208,4831838208,8.160607814788818,8.105664253234863,8.415735960006714,0.9696843928528276,1.0067784156655673,0.9631557230115851
4,32,262144,9663676416,9663676416,16.3591046333313,16.256128311157227,16.821080207824707,0.9725359151263954,1.0063346154879569,0.9664140536940856
4,32,524288,19327352832,19327352832,32.76699256896973,32.50853633880615,33.843807220458984,0.9681828157076161,1.0079504111618538,0.9605460794361916
4,32,932032,34358427648,34358427648,58.3719367980957,57.8042631149292,60.0577917098999,0.9719294555492904,1.009820619666716,0.9624773317364709
4,64,512,37748736,37748736,0.08588799834251404,0.08716800063848495,0.08972799777984619,0.9572039995057746,0.9853156859559103,0.9714693606822437
4,64,1024,75497472,75497472,0.14507199823856354,0.14553599804639816,0.15030399709939957,0.9651905540650659,0.9968117866777765,0.9682776297036984
