batch_size,seqlen_q,seqlen_k,standard_ms,localized_ms,speedup,kv_gib_per_layout,owner_batch_counts,owner_tile_counts,owner_wave_counts,localized_theoretical_active_cluster_fraction
16,32,32768,3.1910640001296997,3.274127960205078,0.9746302034969411,0.5625,"[8, 8]","[256, 256]","[7, 7]",1.0
32,32,32768,6.504159927368164,6.51255989074707,0.9987101902293688,1.125,"[16, 16]","[512, 512]","[14, 14]",1.0
64,32,32768,13.00491189956665,13.21667194366455,0.9839778088613746,2.25,"[32, 32]","[1024, 1024]","[28, 28]",1.0
2,32,131072,1.6446320116519928,1.6408640146255493,1.0022963493579347,0.28125,"[1, 1]","[32, 32]","[1, 1]",0.8648648648648649
4,32,131072,3.3515360355377197,3.355839967727661,0.9987174799062735,0.5625,"[2, 2]","[64, 64]","[2, 2]",1.0
8,32,131072,6.785887956619263,6.76964807510376,1.0023989255180379,1.125,"[4, 4]","[128, 128]","[4, 4]",1.0
16,32,131072,12.878360033035278,12.881767749786377,0.9997354620252988,2.25,"[8, 8]","[256, 256]","[7, 7]",1.0
32,32,131072,25.827080249786377,25.983920097351074,0.9939639651377821,4.5,"[16, 16]","[512, 512]","[14, 14]",1.0
64,32,131072,51.92448806762695,52.45516014099121,0.9898833199262399,9.0,"[32, 32]","[1024, 1024]","[28, 28]",1.0
64,32,1008576,410.0598373413086,399.3031692504883,1.0269385993379694,69.25341796875,"[32, 32]","[1024, 1024]","[28, 28]",1.0
32,32,1008576,201.6665496826172,199.96951293945312,1.008486477354565,34.626708984375,"[16, 16]","[512, 512]","[14, 14]",1.0
16,32,1008576,99.80827331542969,99.42835998535156,1.003820975525837,17.3133544921875,"[8, 8]","[256, 256]","[7, 7]",1.0
8,32,1008576,53.15635299682617,53.32025718688965,0.9969260427704055,8.65667724609375,"[4, 4]","[128, 128]","[4, 4]",1.0
4,32,1008576,25.864424228668213,25.80501651763916,1.0023021768262943,4.328338623046875,"[2, 2]","[64, 64]","[2, 2]",1.0
2,32,1008576,12.692512035369873,12.730791807174683,0.996993135039469,2.1641693115234375,"[1, 1]","[32, 32]","[1, 1]",0.8648648648648649
